sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
112212	B5	7374	5099	130	5099	130	0	0	0	0	5016	32	0	0	975	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112213	B6	2648	1591	71	1584	70	7	1	0	0	1560	29	0	0	310	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112296	H10	32804	23538	709	23492	705	46	4	0	0	22342	26	0	0	2179	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112339	J6	33286	23509	726	23480	724	29	2	0	0	22366	25	0	0	2439	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112307	H6	22564	15787	602	15771	601	16	1	0	0	14972	28	0	0	1779	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112342	J9	70487	52584	1351	52526	1348	58	3	0	0	49894	26	0	0	5812	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112298	H12	34027	23900	796	23874	794	26	2	0	0	22823	31	0	0	2378	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112387	M6	48356	34243	1042	34194	1040	49	2	0	0	33069	26	0	0	3848	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112305	H4	38720	27109	907	27075	905	34	2	0	0	25890	28	0	0	2658	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112308	H7	8429	4941	265	4936	264	5	1	0	0	4749	27	0	0	557	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112384	M3	45817	32022	994	31957	991	65	3	0	0	30491	30	0	0	3514	10	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112332	J14	50154	36280	1049	36235	1046	45	3	0	0	34437	24	0	0	4171	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112375	M1	49615	34880	1021	34840	1018	40	3	0	0	33152	26	0	0	3955	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112378	M12	49092	34787	1028	34723	1025	64	3	0	0	33242	26	0	0	4116	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112390	M9	35640	25142	831	25106	828	36	3	0	0	24006	28	0	0	3004	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112304	H3	6185	3892	144	3885	143	7	1	0	0	3803	25	0	0	515	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112464	R16	29763	20745	657	20606	656	139	1	0	0	19808	33	0	0	2322	0	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112281	G10	16256	10853	424	10845	422	8	2	0	0	10482	34	0	0	1190	42	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112286	G15	6478	3150	112	3150	112	0	0	0	0	3096	34	0	0	261	8	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
112495	T15	4861	2994	109	2994	109	0	0	0	0	2947	11	0	0	7	116	0	0	0	0	0	coral	cnidaria	anthozoa	scleractinia	Acroporidae	Montipora	capitata	21.45073300	-157.79628800	NoData	NoData
