sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6
D4/D1-D6-D1ab-D17d-D17j-D3h,87936,-0.06729061355348008,0.05848984346686108,0.0252310462436702,0.02086783063692443,0.0,0.0
D4/D1/D6-D1ab-D3h,87617,-0.0457152038611955,0.053820264725846174,-0.002203010690398068,-0.02443984365726995,0.0,0.0
D1/D4-D6-D1ab-D3h-D4d,87918,-0.06277781483196612,0.027093798672229722,-0.031407345134563856,0.0018815179740704375,0.0,0.0
D1/D4,87537,0.20097870406046398,0.02726972509147093,0.010641206986277518,0.0007000680369927782,0.0,0.0
D1/D4/D6,87540,0.013225565745266342,-0.07333026761380947,-0.05034527925546877,0.005855383937545394,0.0,0.0
D1/D4/D6/D1ab,87549,-0.0384206375590885,-0.09334336434259846,0.048083381850483047,-0.0048649569282632225,0.0,0.0
proportion_explained,0,0.6401608190763746,0.2663444146033563,0.08017181935185243,0.013322946968416774,0.0,0.0
