sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6
D4/D1-D6-D1ab-D17d-D17j-D3h,87936,0.2614876879932299,0.049815141847371014,0.014144060291738167,0.0021382472264709156,-0.0,0.0
D4/D1/D6-D1ab-D3h,87617,-0.0007457378093468712,-0.026821455169585326,0.00754510042316526,0.005524009881715567,-0.0,0.0
D1/D4-D6-D1ab-D3h-D4d,87918,0.0022854472400053024,-0.047550847050694296,-0.022072928631530767,-0.031156514981982103,-0.0,0.0
D1/D4,87537,-0.16412059128582301,0.07766575207368952,0.05009293265813281,-0.00514952638554393,-0.0,0.0
D1/D4/D6,87540,-0.07047059882491502,0.040467598062845674,-0.07530303295129043,0.012238122135484687,-0.0,0.0
D1/D4/D6/D1ab,87549,-0.028436207313150337,-0.09357618976362647,0.025593868209785053,0.016405662123854456,-0.0,0.0
proportion_explained,0,0.7543587931895879,0.16333157502956464,0.07148024231343543,0.010829389467412149,0.0,0.0
