sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6
D4/D1-D6-D1ab-D17d-D17j-D3h,87936,-0.1231386213336294,-0.014842654358693301,0.04355714680720705,0.0,0.0,0.0
D4/D1/D6-D1ab-D3h,87617,-0.029201241130005415,-0.0018819618833465143,-0.006568989817542981,0.0,0.0,0.0
D1/D4-D6-D1ab-D3h-D4d,87918,-0.032364495461855214,-0.0029791121096547123,-0.029612387172117068,0.0,0.0,0.0
D1/D4,87537,0.13364480321278002,-0.0334063782234862,0.03751263951419995,0.0,0.0,0.0
D1/D4/D6,87540,0.017447021819143718,-0.04332350264082256,-0.0438463211741044,0.0,0.0,0.0
D1/D4/D6/D1ab,87549,0.03361253289356642,0.09643360921600323,-0.0010420881576424523,0.0,0.0,0.0
proportion_explained,0,0.6606832559244482,0.22759804015739943,0.11171870391815238,0.0,0.0,0.0
