sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6
D4/D1-D6-D1ab-D17d-D17j-D3h,87936,-0.1575784398644015,0.08878664581534997,0.013123330368651927,0.025509089873061896,-0.0,0.0
D4/D1/D6-D1ab-D3h,87617,-0.06991235229068019,-0.0009316202489937955,-0.028853066285927646,-0.0004033813459112065,-0.0,0.0
D1/D4-D6-D1ab-D3h-D4d,87918,-0.11580588528461212,-0.01304170290530026,-0.025377438340980735,-0.039442031143851565,-0.0,0.0
D1/D4,87537,0.30247210269752134,0.05309414381665081,0.003445221946842695,-0.012514757786880826,-0.0,0.0
D1/D4/D6,87540,0.07918777719954034,-0.07274302573774978,-0.02114264768508343,0.03606367603571608,-0.0,0.0
D1/D4/D6/D1ab,87549,-0.03836320245736782,-0.0551644407399571,0.058804599996497196,-0.009212595632134227,-0.0,0.0
proportion_explained,0,0.8330914621498764,0.11240220957564973,0.03256955966169637,0.02193676861277744,0.0,0.0
